Ticker,Security,SectorID
SPX,SPX,Index
NDX,NDX,Index
SOX,SOX,Index
RTY,RUSSELL2000,Index
IXCTR,SPDR_TC,TC
IXYTR,SPDR_CD,CD
IXRTR,SPDR_CS,CS
IXETR,SPDR_EN,EN
IXMTR,SPDR_FN,FN
IXVTR,SPDR_HC,HC
IXITR,SPDR_IN,IN
IXBTR,SPDR_MT,MT
IXRETR,SPDR_RL,RL
IXUTR,SPDR_UT,UT
IXTTR,SPDR_IT,IT
MSFT,MICROSOFT CORP,IT
NVDA,NVIDIA CORP,IT
AAPL,APPLE INC,IT
AMZN,AMAZON.COM INC,CD
META,META PLATFORMS-A,TC
AVGO,BROADCOM INC,IT
GOOGL,ALPHABET INC-A,TC
TSLA,TESLA INC,CD
BRK/B,BERKSHIRE HATH-B,FN
GOOG,ALPHABET INC-C,TC
JPM,JPMORGAN CHASE,FN
LLY,ELI LILLY & CO,HC
V,VISA INC-CLASS A,FN
NFLX,NETFLIX INC,TC
XOM,EXXON MOBIL CORP,EN
MA,MASTERCARD INC-A,FN
COST,COSTCO WHOLESALE,CS
WMT,WALMART INC,CS
PG,PROCTER & GAMBLE,CS
JNJ,JOHNSON&JOHNSON,HC
HD,HOME DEPOT INC,CD
ORCL,ORACLE CORP,IT
ABBV,ABBVIE INC,HC
BAC,BANK OF AMERICA,FN
PLTR,PALANTIR TECHN-A,IT
PM,PHILIP MORRIS IN,CS
UNH,UNITEDHEALTH GRP,HC
KO,COCA-COLA CO/THE,CS
IBM,IBM,IT
CSCO,CISCO SYSTEMS,IT
GE,GENERAL ELECTRIC,IN
CRM,SALESFORCE INC,IT
WFC,WELLS FARGO & CO,FN
ABT,ABBOTT LABS,HC
CVX,CHEVRON CORP,EN
AMD,ADV MICRO DEVICE,IT
LIN,LINDE PLC,MT
INTU,INTUIT INC,IT
DIS,WALT DISNEY CO/T,TC
MCD,MCDONALDS CORP,CD
NOW,SERVICENOW INC,IT
T,AT&T INC,TC
GS,GOLDMAN SACHS GP,FN
MRK,MERCK & CO,HC
RTX,RTX CORP,IN
UBER,UBER TECHNOLOGIE,IN
ACN,ACCENTURE PLC-A,IT
ISRG,INTUITIVE SURGIC,HC
TXN,TEXAS INSTRUMENT,IT
BKNG,BOOKING HOLDINGS,CD
PEP,PEPSICO INC,CS
VZ,VERIZON COMMUNIC,TC
CAT,CATERPILLAR INC,IN
AXP,AMERICAN EXPRESS,FN
QCOM,QUALCOMM INC,IT
ADBE,ADOBE INC,IT
MS,MORGAN STANLEY,FN
SPGI,S&P GLOBAL INC,FN
BSX,BOSTON SCIENTIFC,HC
PGR,PROGRESSIVE CORP,FN
SCHW,SCHWAB (CHARLES),FN
TMO,THERMO FISHER,HC
AMGN,AMGEN INC,HC
BA,BOEING CO/THE,IN
C,CITIGROUP INC,FN
AMAT,APPLIED MATERIAL,IT
